meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
1890.2514389249113,0.033916187,6.588189e-06,3865.0641668083626,3959.7121805111747,94.64801370281202,22.413868071008398,15.44641847002221,3.6793985,0.018663103,-480.83652,1890.2514389249113,95.994064,0.0,178.6955271983718,32.431396,82.40688922821748,178.6955271983718,96.28863797015431,-9.157685,0
2111.2855121293123,0.048459817,1.2959837e-05,3501.824761042536,2794.0035676166426,-707.8211934258934,22.18112354961675,15.537856232062419,3.8367248,0.021143215,-455.34296,2111.2855121293123,89.01708,0.0,172.60850153728515,28.845581,91.96585291173604,172.60850153728515,80.64264862554911,-2.991858,0
1731.0500332889496,0.04576159,4.132925e-06,3302.542853802306,2817.8325626582136,-484.7102911440925,23.293503685782927,15.575173801037858,3.633858,0.016270075,-455.26392,1731.0500332889496,99.40537,0.0,174.61411571650194,34.941303,100.87044475251382,174.61411571650194,73.74367096398812,-6.091012,0
1625.9687287974764,0.03723062,2.387751e-06,3218.7634673397556,4056.9611444771626,838.197677137407,24.19930723117502,16.91848934577693,3.3404748,0.012961857,-469.94275,1625.9687287974764,107.29207,0.0,180.77186920887385,37.162514,65.40639132514966,180.77186920887385,115.3654778837242,-9.87486,0
1777.2958578898354,0.045997895,1.6020854e-06,3115.748257238116,3309.698956718569,193.9506994804533,23.323809058153323,16.03038357784961,3.7102578,0.018638253,-449.74152,1777.2958578898354,99.932625,0.0,177.66631669600923,29.645014,99.71184887709214,177.66631669600923,77.9544678189171,-8.691718,0
1692.7274435184554,0.049145725,7.273239e-06,3480.967260440257,3285.7362705609703,-195.23098987928688,23.061741663352496,16.491041278342728,3.3995159,0.013508702,-441.96893,1692.7274435184554,96.84051,0.0,198.27510177438265,34.650047,90.90953499696329,198.27510177438265,107.36556677741936,-9.572853,0
1943.4751768183555,0.044476725,6.056798e-07,986.7068512736514,1601.0226669197527,614.3158156461013,21.348023847211884,15.844624385376065,4.1021757,0.02324175,-456.69662,1943.4751768183555,95.57054,0.0,202.90956258890662,22.680601,103.82617439498627,202.90956258890662,99.08338819392036,-0.30679607,0
2169.170470381815,0.04505512,-1.6414319e-06,3574.1343337467038,3036.1557888080615,-537.9785449386422,21.261907747729264,16.253823053740696,3.6680005,0.021406975,-478.36792,2169.170470381815,75.663765,0.0,205.2672581380976,33.392986,84.33305895682803,205.2672581380976,120.93419918126956,-4.6728225,0
1689.9231822549764,0.048344817,1.5473654e-05,3332.715404716503,2520.4698315799205,-812.2455731365826,23.601177059247483,14.975124332428411,3.6513336,0.010973451,-407.433,1689.9231822549764,103.00102,0.0,177.66631669600923,37.804222,69.29565774421802,177.66631669600923,108.37065895179121,-5.158031,0
1634.6535140567494,0.051380385,1.1528319e-05,2932.0772288557396,3313.839875974071,381.76264711833164,23.069409246290522,15.720151375427772,3.7385437,0.009918635,-424.44156,1634.6535140567494,99.6666,0.0,1919.2936094908534,32.773567,73.4161919793519,1919.2936094908534,1845.8774175115016,-4.70131,0
2070.5500283150914,0.044331476,2.673746e-06,3988.9031329885656,3233.2577673426345,-755.6453656459312,21.875679491075957,15.640811800357215,4.1801195,0.0269733,-454.07236,2070.5500283150914,91.33753,0.0,164.81377845643496,31.60265,93.03444464945933,164.81377845643496,71.77933380697563,-0.7683505,0
1859.6549356591527,0.047774214,4.166155e-05,3515.2403730654714,3381.7044299653894,-133.53594310008202,23.460080197925066,16.472333472959903,3.6689875,0.013436634,-413.43964,1859.6549356591527,89.97602,0.0,183.93170582347207,41.603603,82.40688922821748,183.93170582347207,101.52481659525459,-6.22095,0
1636.1318504057112,0.03990433,2.9533282e-07,3497.9897650642083,3390.2649519163433,-107.724813147865,23.176759771610705,16.316023314266104,3.468172,0.014864795,-468.83417,1636.1318504057112,97.265305,0.0,177.66631669600923,35.9442,75.13221412149176,177.66631669600923,102.53410257451748,-5.1053205,0
2219.8494929524613,0.040089853,1.456022e-07,3193.10909247373,3446.5838156303707,253.47472315664072,20.262573049141327,15.884984866962562,4.188181,0.027786627,-501.79657,2219.8494929524613,84.72154,0.0,188.23090565017245,19.332462,93.03444464945933,188.23090565017245,95.19646100071311,1.7500157,0
1713.0606696207205,0.053193077,2.7528004e-06,3053.5344512956053,3217.305220091495,163.77076879588958,22.73560640132815,15.799182330359365,3.5359242,0.014614649,-429.6281,1713.0606696207205,106.89164,0.0,187.14677540918822,20.915382,83.8473362790669,187.14677540918822,103.29943913012133,-3.9419732,0
1681.4219955862652,0.043903973,4.319936e-06,3440.791487239013,3377.273786796686,-63.51770044232671,23.928554253274132,16.064964880485984,3.691981,0.0164115,-442.07617,1681.4219955862652,110.473755,0.0,169.64319079487348,29.850258,65.40639132514966,169.64319079487348,104.23679946972382,-4.9318647,0
1831.194660711274,0.034611844,2.0226614e-07,3800.6468166788277,3445.3228466755418,-355.3239700032859,23.0321738269777,15.89512996167168,3.635031,0.018118894,-470.37112,1831.194660711274,90.547844,0.0,195.99771799087463,41.71027,101.45478129445331,195.99771799087463,94.54293669642132,-10.679149,0
2183.435578329267,0.044471536,6.6553107e-06,2974.0493424438673,3273.3411905636185,299.2918481197512,21.973084776267704,15.488552463265943,3.848925,0.021906903,-482.45612,2183.435578329267,80.75181,0.0,205.2672581380976,28.186764,76.88834637984607,205.2672581380976,128.37891175825152,-4.0317755,0
2108.9990871160244,0.051718067,1.0131167e-05,3455.160583055821,3647.764813829299,192.60423077347787,20.74019555892417,15.837296555799648,3.990936,0.025016665,-449.22598,2108.9990871160244,81.14316,0.0,175.62564499846297,27.947763,95.20902171067573,175.62564499846297,80.41662328778725,-4.897135,0
1843.244267022888,0.038403574,1.6427202e-06,2994.9292540944816,3567.943396821591,573.0141427271092,23.448402498868123,16.630072579209028,3.6263096,0.023950309,-474.38208,1843.244267022888,97.08075,0.0,173.60841241450115,32.55711,97.43442710125966,173.60841241450115,76.17398531324149,-6.5364013,0
1866.8421242212873,0.041226115,2.9383225e-06,3591.1095756719906,2995.76069245934,-595.3488832126504,23.36355409232909,16.77018952437173,3.6390374,0.018446777,-458.08484,1866.8421242212873,90.268814,0.0,223.84553226259098,36.328632,84.33305895682803,223.84553226259098,139.51247330576297,-8.634705,0
2294.673800819916,0.029931182,-2.5549962e-06,3904.2032189864267,3762.36583771357,-141.83738127285687,19.649227665642403,15.77593121216686,4.151138,0.028519029,-506.8211,2294.673800819916,75.25329,0.0,168.66611791365605,25.471474,81.46036537576103,168.66611791365605,87.20575253789502,-2.1670384,0
1830.9246885974644,0.045977145,3.202919e-07,3272.912471563157,3334.0336182742412,61.12114671108429,23.589016533510552,16.195304513469193,3.7478197,0.016309729,-441.6372,1830.9246885974644,102.86055,0.0,199.42369775418427,33.56383,103.82617439498627,199.42369775418427,95.59752335919801,-2.636165,0
1871.193292639324,0.04759353,1.3360344e-06,3257.8501482345505,3103.1181911389313,-154.73195709561924,22.008829730055503,15.905755078137158,3.8166203,0.019523786,-452.09583,1871.193292639324,91.57791,0.0,186.06888929891866,36.97333,79.59980805922079,186.06888929891866,106.46908123969787,-3.4284406,0
1656.4843644776467,0.040616803,2.6139303e-06,3473.681458547114,3504.9449388100556,31.263480262941812,24.565136619960683,16.64027327047991,3.5500464,0.014357694,-443.28168,1656.4843644776467,108.06368,0.0,193.74649219115264,26.52168,94.11545282508624,193.74649219115264,99.6310393660664,-6.051404,0
